chrom	exonStarts	exonEnds	cdsStart	cdsEnd	strand	exon_count	txStart	txEnd	mature_mRNA_Length	Name	ID
chr1	170151377	170151462	170151462	170151462	-	1	170151377	170151462	85	MIR3119-1	NR_036064.1
chr1	170151377	170151462	170151462	170151462	+	1	170151377	170151462	85	MIR3119-2	NR_036065.1
chr1	171101727	171101806	171101806	171101806	-	1	171101727	171101806	79	MIR1295A	NR_031627.1
chr1	171101738	171101798	171101798	171101798	+	1	171101738	171101798	60	MIR1295B	NR_049854.1
chr1	172138797	172138907	172138907	172138907	-	1	172138797	172138907	110	MIR214	NR_029627.1
chr1	172138807	172138888	172138888	172138888	+	1	172138807	172138888	81	MIR3120	NR_036066.1
chr1	172144534	172144644	172144644	172144644	-	1	172144534	172144644	110	MIR199A2	NR_029618.1
chr1	175968369	175968479	175968479	175968479	-	1	175968369	175968479	110	MIR1843	NR_162097.1
chr1	177029362	177029445	177029445	177029445	-	1	177029362	177029445	83	MIR488	NR_030163.1
chr1	178677748	178677834	178677834	178677834	+	1	178677748	178677834	86	MIR4424	NR_039622.1
chr1	179803923	179804025	179804025	179804025	+	1	179803923	179804025	102	MIR12116	NR_162130.1
chr1	180438313	180438390	180438390	180438390	-	1	180438313	180438390	77	MIR3121	NR_036067.1
chr1	192716327	192716390	192716390	192716390	+	1	192716327	192716390	63	MIR4426	NR_039624.1
chr1	193136502	193136583	193136583	193136583	+	1	193136502	193136583	81	MIR1278	NR_031691.1
chr1	196582412	196582481	196582481	196582481	-	1	196582412	196582481	69	MIR4735	NR_039888.1
chr1	198858872	198858982	198858982	198858982	-	1	198858872	198858982	110	MIR181B1	NR_029612.1
chr1	198859043	198859153	198859153	198859153	-	1	198859043	198859153	110	MIR181A1	NR_029626.1
chr1	201719507	201719627	201719627	201719627	+	1	201719507	201719627	120	MIR5191	NR_049823.1
chr1	201808610	201808702	201808702	201808702	+	1	201808610	201808702	92	MIR1231	NR_031599.1
chr1	201863372	201863447	201863447	201863447	+	1	201863372	201863447	75	MIR6739	NR_106797.1
chr1	202003123	202003236	202003236	202003236	+	1	202003123	202003236	113	MIR6740	NR_106798.1
chr1	205448301	205448398	205448398	205448398	-	1	205448301	205448398	97	MIR135B	NR_029893.1
chr1	206474802	206474864	206474864	206474864	+	1	206474802	206474864	62	MIR6769B	NR_106919.1
chr1	207801851	207801939	207801939	207801939	-	1	207801851	207801939	88	MIR29C	NR_029832.1
chr1	207802442	207802523	207802523	207802523	-	1	207802442	207802523	81	MIR29B2	NR_029518.1
chr1	209432132	209432242	209432242	209432242	+	1	209432132	209432242	110	MIR205	NR_029622.1
chr1	209623443	209623510	209623510	209623510	-	1	209623443	209623510	67	MIR4260	NR_036213.1
chr1	212077612	212077685	212077685	212077685	+	1	212077612	212077685	73	MIR3122	NR_036068.1
chr1	220117852	220117962	220117962	220117962	-	1	220117852	220117962	110	MIR215	NR_029628.1
chr1	220118156	220118241	220118241	220118241	-	1	220118156	220118241	85	MIR194-1	NR_029711.1
chr1	220200537	220200619	220200619	220200619	-	1	220200537	220200619	82	MIR664A	NR_031705.1
chr1	224257039	224257110	224257110	224257110	-	1	224257039	224257110	71	MIR320B2	NR_031574.2
chr1	224398226	224398311	224398311	224398311	-	1	224398226	224398311	85	MIR4742	NR_039896.1
chr1	225922079	225922142	225922142	225922142	-	1	225922079	225922142	63	MIR6741	NR_106799.1
chr1	227941589	227941683	227941683	227941683	-	1	227941589	227941683	94	MIR5008	NR_049806.1
chr1	228097262	228097341	228097341	228097341	+	1	228097262	228097341	79	MIR3620	NR_037415.1
chr1	228397047	228397109	228397109	228397109	-	1	228397047	228397109	62	MIR6742	NR_106800.1
chr1	228462073	228462152	228462152	228462152	+	1	228462073	228462152	79	MIR4666A	NR_039812.1
chr1	231019827	231019924	231019924	231019924	-	1	231019827	231019924	97	MIR1182	NR_031593.1
chr1	233624151	233624219	233624219	233624219	+	1	233624151	233624219	68	MIR4427	NR_039625.1
chr1	234306466	234306539	234306539	234306539	+	1	234306466	234306539	73	MIR4671	NR_039818.1
chr1	235190033	235190116	235190116	235190116	-	1	235190033	235190116	83	MIR4753	NR_039908.1
chr1	235852999	235853060	235853060	235853060	-	1	235852999	235853060	61	MIR1537	NR_031718.1
chr1	237471118	237471191	237471191	237471191	+	1	237471118	237471191	73	MIR4428	NR_039626.1
chr1	241132271	241132346	241132346	241132346	+	1	241132271	241132346	75	MIR3123	NR_036069.1
chr1	243346175	243346255	243346255	243346255	+	1	243346175	243346255	80	MIR4677	NR_039824.1
chr1	247201966	247202060	247202060	247202060	-	1	247201966	247202060	94	MIR3916	NR_037480.1
chr1	248826376	248826443	248826443	248826443	+	1	248826376	248826443	67	MIR3124	NR_036070.1
chr2	5974661	5974732	5974732	5974732	+	1	5974661	5974732	71	MIR7158	NR_106980.1
chr2	6650372	6650439	6650439	6650439	+	1	6650372	6650439	67	MIR7515	NR_106986.1
chr2	10192613	10192671	10192671	10192671	-	1	10192613	10192671	58	MIR4261	NR_036222.1
chr2	11540604	11540677	11540677	11540677	-	1	11540604	11540677	73	MIR4429	NR_039627.1
chr2	11767443	11767525	11767525	11767525	+	1	11767443	11767525	82	MIR548S	NR_036071.1
chr2	11836932	11836986	11836986	11836986	-	1	11836932	11836986	54	MIR4262	NR_036226.1
chr2	12199129	12199201	12199201	12199201	+	1	12199129	12199201	72	MIR3681	NR_037452.1
chr2	12737366	12737444	12737444	12737444	+	1	12737366	12737444	78	MIR3125	NR_036072.1
chr2	19348428	19348505	19348505	19348505	+	1	19348428	19348505	77	MIR4757	NR_039914.1
chr2	25328639	25328721	25328721	25328721	-	1	25328639	25328721	82	MIR1301	NR_031570.1
chr2	27996366	27996449	27996449	27996449	+	1	27996366	27996449	83	MIR4263	NR_036230.1
chr2	32532152	32532246	32532246	32532246	+	1	32532152	32532246	94	MIR558	NR_030285.1
chr2	32635254	32635331	32635331	32635331	+	1	32635254	32635331	77	MIR4765	NR_039922.1
chr2	33418515	33418564	33418564	33418564	+	1	33418515	33418564	49	MIR4430	NR_039628.1
chr2	35471404	35471486	35471486	35471486	+	1	35471404	35471486	82	MIR548AD	NR_039629.1
chr2	47377674	47377770	47377770	47377770	+	1	47377674	47377770	96	MIR559	NR_030286.1
chr2	49059602	49059658	49059658	49059658	+	1	49059602	49059658	56	MIR548BA	NR_107011.1
chr2	50696171	50696262	50696262	50696262	-	1	50696171	50696262	91	MIR8485	NR_130470.1
chr2	52702521	52702615	52702615	52702615	-	1	52702521	52702615	94	MIR4431	NR_039630.1
chr2	53849121	53849205	53849205	53849205	-	1	53849121	53849205	84	MIR3682	NR_037453.1
chr2	55982966	55983076	55983076	55983076	-	1	55982966	55983076	110	MIR217	NR_029630.1
chr2	55988949	55989059	55989059	55989059	-	1	55988949	55989059	110	MIR216A	NR_029629.1
chr2	56000713	56000795	56000795	56000795	-	1	56000713	56000795	82	MIR216B	NR_030623.1
chr2	60387361	60387445	60387445	60387445	-	1	60387361	60387445	84	MIR4432	NR_039631.1
chr2	62205825	62205917	62205917	62205917	+	1	62205825	62205917	92	MIR5192	NR_049824.1
chr2	64340746	64340848	64340848	64340848	-	1	64340746	64340848	102	MIR4433B	NR_106995.1
chr2	64340758	64340839	64340839	64340839	+	1	64340758	64340839	81	MIR4433A	NR_039632.1
chr2	64525512	64525565	64525565	64525565	+	1	64525512	64525565	53	MIR4434	NR_039633.1
chr2	66358248	66358328	66358328	66358328	-	1	66358248	66358328	80	MIR4778	NR_039938.1
chr2	69103681	69103755	69103755	69103755	+	1	69103681	69103755	74	MIR3126	NR_036073.1
chr2	70252917	70253005	70253005	70253005	-	1	70252917	70253005	88	MIR1285-2	NR_031617.1
chr2	75090811	75090914	75090914	75090914	+	1	75090811	75090914	103	MIR5000	NR_049796.1
chr2	79649293	79649359	79649359	79649359	-	1	79649293	79649359	66	MIR4264	NR_036231.1
chr2	79866494	79866583	79866583	79866583	-	1	79866494	79866583	89	MIR8080	NR_107047.1
chr2	85783599	85783677	85783677	85783677	-	1	85783599	85783677	78	MIR6071	NR_106719.1
chr2	86193025	86193108	86193108	86193108	-	1	86193025	86193108	83	MIR4779	NR_039939.1
chr2	87194785	87194859	87194859	87194859	+	1	87194785	87194859	74	MIR4771-1	NR_039928.1
chr2	87629754	87629834	87629834	87629834	+	1	87629754	87629834	80	MIR4435-1	NR_039634.1
chr2	88082518	88082599	88082599	88082599	-	1	88082518	88082599	81	MIR4780	NR_039940.1
chr2	88812369	88812454	88812454	88812454	+	1	88812369	88812454	85	MIR4436A	NR_039635.1
chr2	96798277	96798353	96798353	96798353	+	1	96798277	96798353	76	MIR3127	NR_036074.1
chr2	101309449	101309534	101309534	101309534	+	1	101309449	101309534	85	MIR5696	NR_049881.1
chr2	102432288	102432366	102432366	102432366	+	1	102432288	102432366	78	MIR4772	NR_039930.1
chr2	109141489	109141588	109141588	109141588	-	1	109141489	109141588	99	MIR4265	NR_036223.1
chr2	109313570	109313625	109313625	109313625	-	1	109313570	109313625	55	MIR4266	NR_036224.1
chr2	110069960	110070042	110070042	110070042	-	1	110069960	110070042	82	MIR4267	NR_036225.1
chr2	110086432	110086523	110086523	110086523	-	1	110086432	110086523	91	MIR4436B1	NR_039941.1
chr2	110284852	110284943	110284943	110284943	+	1	110284852	110284943	91	MIR4436B2	NR_049830.1
chr2	111321012	111321086	111321086	111321086	-	1	111321012	111321086	74	MIR4435-2	NR_039636.1
chr2	111771060	111771134	111771134	111771134	-	1	111771060	111771134	74	MIR4771-2	NR_039929.1
chr2	113582958	113583096	113583096	113583096	-	1	113582958	113583096	138	MIR1302-3	NR_031632.1
chr2	113721289	113721368	113721368	113721368	-	1	113721289	113721368	79	MIR4782	NR_039943.1
chr2	127423536	127423618	127423618	127423618	-	1	127423536	127423618	82	MIR4783	NR_039944.1
chr2	131491159	131491236	131491236	131491236	-	1	131491159	131491236	77	MIR4784	NR_039945.1
chr2	132256965	132257080	132257080	132257080	-	1	132256965	132257080	115	MIR663B	NR_031608.1
chr2	132433710	132433820	132433820	132433820	+	1	132433710	132433820	110	MIR9986	NR_162099.1
chr2	134127124	134127192	134127192	134127192	+	1	134127124	134127192	68	MIR3679	NR_037450.1
chr2	134857819	134857873	134857873	134857873	+	1	134857819	134857873	54	MIR5590	NR_049856.1
chr2	135665396	135665478	135665478	135665478	+	1	135665396	135665478	82	MIR128-1	NR_029672.1
chr2	140586625	140586685	140586685	140586685	-	1	140586625	140586685	60	MIR7157	NR_106979.1
chr2	149330277	149330373	149330373	149330373	-	1	149330277	149330373	96	MIR9899	NR_162091.1
chr2	151368333	151368411	151368411	151368411	+	1	151368333	151368411	78	MIR4773-1	NR_039931.1
chr2	151368333	151368411	151368411	151368411	-	1	151368333	151368411	78	MIR4773-2	NR_039932.1
chr2	159186834	159186901	159186901	159186901	+	1	159186834	159186901	67	MIR6888	NR_106948.1
chr2	160407809	160407882	160407882	160407882	-	1	160407809	160407882	73	MIR4785	NR_039946.1
chr2	168582942	168583018	168583018	168583018	+	1	168582942	168583018	76	MIR4774	NR_039933.1
chr2	175167632	175167709	175167709	175167709	-	1	175167632	175167709	77	MIR933	NR_030630.1
chr2	176150302	176150412	176150412	176150412	+	1	176150302	176150412	110	MIR10B	NR_029609.1
chr2	176188842	176188901	176188901	176188901	+	1	176188842	176188901	59	MIR7704	NR_106991.1
chr2	176600979	176601052	176601052	176601052	-	1	176600979	176601052	73	MIR1246	NR_031648.1
chr2	177212725	177212799	177212799	177212799	+	1	177212725	177212799	74	MIR4444-1	NR_039646.1
chr2	177255944	177256010	177256010	177256010	-	1	177255944	177256010	66	MIR3128	NR_036075.1
chr2	177313805	177313882	177313882	177313882	-	1	177313805	177313882	77	MIR6512	NR_106767.1
chr2	179860835	179860908	179860908	179860908	-	1	179860835	179860908	73	MIR1258	NR_031659.1
chr2	181305592	181305652	181305652	181305652	-	1	181305592	181305652	60	MIR4437	NR_039637.1
chr2	184378974	184379044	184379044	184379044	+	1	184378974	184379044	70	MIR548AE1	NR_039638.1
chr2	188297491	188297588	188297588	188297588	+	1	188297491	188297588	97	MIR561	NR_030287.1
chr2	188978091	188978161	188978161	188978161	+	1	188978091	188978161	70	MIR1245A	NR_031647.1
chr2	188978092	188978161	188978161	188978161	-	1	188978092	188978161	69	MIR1245B	NR_039947.1
chr2	188995629	188995692	188995692	188995692	+	1	188995629	188995692	63	MIR3606	NR_037401.1
chr2	189133035	189133111	189133111	189133111	-	1	189133035	189133111	76	MIR3129	NR_036076.1
chr2	206783233	206783308	206783308	206783308	-	1	206783233	206783308	75	MIR3130-1	NR_036077.1
chr2	206783233	206783308	206783308	206783308	+	1	206783233	206783308	75	MIR3130-2	NR_036078.1
chr2	207109986	207110073	207110073	207110073	-	1	207109986	207110073	87	MIR2355	NR_036227.1
chr2	207166399	207166498	207166498	207166498	+	1	207166399	207166498	99	MIR7845	NR_106999.1
chr2	207269274	207269424	207269424	207269424	-	1	207269274	207269424	150	MIR1302-4	NR_031633.1
chr2	207754806	207754881	207754881	207754881	+	1	207754806	207754881	75	MIR4775	NR_039934.1
chr2	212426262	212426360	212426360	212426360	-	1	212426262	212426360	98	MIR548F2	NR_031643.1
chr2	212926256	212926336	212926336	212926336	-	1	212926256	212926336	80	MIR4776-2	NR_039936.1
chr2	212926256	212926336	212926336	212926336	+	1	212926256	212926336	80	MIR4776-1	NR_039935.1
chr2	213758066	213758159	213758159	213758159	+	1	213758066	213758159	93	MIR4438	NR_039640.1
chr2	217900512	217900628	217900628	217900628	-	1	217900512	217900628	116	MIR6809	NR_106867.1
chr2	218280124	218280188	218280188	218280188	-	1	218280124	218280188	64	MIR6513	NR_106768.1
chr2	218341910	218341980	218341980	218341980	+	1	218341910	218341980	70	MIR6810	NR_106868.1
chr2	218402645	218402722	218402722	218402722	+	1	218402645	218402722	77	MIR26B	NR_029500.1
chr2	218823089	218823154	218823154	218823154	+	1	218823089	218823154	65	MIR9500	NR_128707.1
chr2	219001644	219001708	219001708	219001708	-	1	219001644	219001708	64	MIR375	NR_029867.1
chr2	219058687	219058750	219058750	219058750	-	1	219058687	219058750	63	MIR3131	NR_036081.1
chr2	219294110	219294200	219294200	219294200	-	1	219294110	219294200	90	MIR153-1	NR_029688.1
chr2	219549072	219549147	219549147	219549147	-	1	219549072	219549147	75	MIR3132	NR_036082.1
chr2	219906501	219906565	219906565	219906565	-	1	219906501	219906565	64	MIR4268	NR_036228.1
chr2	225010460	225010540	225010540	225010540	-	1	225010460	225010540	80	MIR4439	NR_039641.1
chr2	226658709	226658793	226658793	226658793	-	1	226658709	226658793	84	MIR5702	NR_049887.1
chr2	227472131	227472187	227472187	227472187	+	1	227472131	227472187	56	MIR5703	NR_049888.1
chr2	231362707	231362793	231362793	231362793	+	1	231362707	231362793	86	MIR4777	NR_039937.1
chr2	231713313	231713398	231713398	231713398	+	1	231713313	231713398	85	MIR1244-1	NR_036052.1
chr2	231892241	231892298	231892298	231892298	-	1	231892241	231892298	57	MIR1471	NR_031717.1
chr2	232172652	232172747	232172747	232172747	+	1	232172652	232172747	95	MIR562	NR_030288.1
chr2	232550473	232550573	232550573	232550573	-	1	232550473	232550573	100	MIR5001	NR_049797.1
chr2	237510930	237510988	237510988	237510988	+	1	237510930	237510988	58	MIR6811	NR_106869.1
chr2	239068816	239068914	239068914	239068914	-	1	239068816	239068914	98	MIR4440	NR_039642.1
chr2	239085826	239085926	239085926	239085926	-	1	239085826	239085926	100	MIR4441	NR_039643.1
chr2	239305461	239305545	239305545	239305545	+	1	239305461	239305545	84	MIR4269	NR_036229.1
chr2	239351723	239351804	239351804	239351804	-	1	239351723	239351804	81	MIR2467	NR_039948.1
chr2	239943014	239943094	239943094	239943094	-	1	239943014	239943094	80	MIR4786	NR_039949.1
chr2	240456000	240456089	240456089	240456089	+	1	240456000	240456089	89	MIR149	NR_029702.1
chr2	241477904	241477982	241477982	241477982	+	1	241477904	241477982	78	MIR3133	NR_036083.1
chr3	5250176	5250255	5250255	5250255	-	1	5250176	5250255	79	MIR4790	NR_039953.1
chr3	10280350	10280452	10280452	10280452	+	1	10280350	10280452	102	MIR12127	NR_162141.1
chr3	10330228	10330285	10330285	10330285	+	1	10330228	10330285	57	MIR378B	NR_036084.1
chr3	10394488	10394562	10394562	10394562	-	1	10394488	10394562	74	MIR885	NR_030614.1
chr3	15496238	15496308	15496308	15496308	-	1	15496238	15496308	70	MIR4270	NR_036232.1
chr3	15697297	15697371	15697371	15697371	-	1	15697297	15697371	74	MIR3134	NR_036085.1
chr3	15873770	15873849	15873849	15873849	+	1	15873770	15873849	79	MIR563	NR_030289.1
chr3	16933195	16933260	16933260	16933260	+	1	16933195	16933260	65	MIR3714	NR_037465.1
chr3	19314847	19314931	19314931	19314931	-	1	19314847	19314931	84	MIR4791	NR_039954.1
chr3	20137564	20137641	20137641	20137641	+	1	20137564	20137641	77	MIR3135A	NR_036086.1
chr3	25664872	25664939	25664939	25664939	-	1	25664872	25664939	67	MIR4442	NR_039644.1
chr3	31161703	31161787	31161787	31161787	-	1	31161703	31161787	84	MIR466	NR_130459.1
chr3	32506282	32506389	32506389	32506389	-	1	32506282	32506389	107	MIR548AY	NR_106753.1
chr3	35744475	35744559	35744559	35744559	+	1	35744475	35744559	84	MIR128-2	NR_029824.1
