hostgene_chrom,hostgene_TxStarts,hostgene_TxEnds,hostgene_cdsStart,hostgene_cdsEnd,hostgene_strand,hostgene_Name,hostgene_NCBI_ID,miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_name,miR_strand,gene_type,pre_mRNA_length
chr1,237042183,237833988,237042521,237832647,+,RYR2,XM_017002028.2,chr1,237471119,237471191,miRNA_primary_transcript,hsa-mir-4428,+,protein-coding gene,791805.0
chr1,14361,29370,29370,29370,-,WASH7P,NR_024540.1,chr1,17369,17436,miRNA_primary_transcript,hsa-mir-6859-1,-,non-coding gene,15009.0
chr1,184915,199875,199875,199875,-,WASH9P,NR_186787.1,chr1,187891,187958,miRNA_primary_transcript,hsa-mir-6859-2,-,non-coding gene,14960.0
chr1,1292390,1298113,1293563,1297926,-,ACAP3,XM_005244717.4,chr1,1296110,1296170,miRNA_primary_transcript,hsa-mir-6726,-,protein-coding gene,5723.0
chr1,1311599,1321073,1311858,1319352,-,INTS11,XM_011541650.3,chr1,1312502,1312566,miRNA_primary_transcript,hsa-mir-6727,-,protein-coding gene,9474.0
chr1,1335277,1340178,1336141,1340097,-,DVL1,XM_047448090.1,chr1,1339650,1339708,miRNA_primary_transcript,hsa-mir-6808,-,protein-coding gene,4901.0
chr1,8860999,8878686,8861359,8868018,-,ENO1,NM_001201483.4,chr1,8866502,8866590,miRNA_primary_transcript,hsa-mir-6728,-,protein-coding gene,17687.0
chr1,12019497,12032045,12021726,12031808,+,MIIP,NM_021933.4,chr1,12029158,12029222,miRNA_primary_transcript,hsa-mir-6729,+,protein-coding gene,12548.0
chr1,17249097,17284233,17249137,17283079,+,PADI3,NM_016233.2,chr1,17277889,17277975,miRNA_primary_transcript,hsa-mir-3972,+,protein-coding gene,35136.0
chr1,26529760,26575025,26529920,26574201,+,RPS6KA1,NM_002953.4,chr1,26554542,26554593,miRNA_primary_transcript,hsa-mir-1976,+,protein-coding gene,45265.0
chr1,30732468,30757774,30733827,30757745,-,LAPTM5,NM_006762.3,chr1,30739156,30739232,miRNA_primary_transcript,hsa-mir-4420,-,protein-coding gene,25306.0
chr1,32072030,32102863,32076792,32102673,+,TMEM39B,NM_001319677.2,chr1,32086949,32087007,miRNA_primary_transcript,hsa-mir-5585,+,protein-coding gene,30833.0
chr1,37474579,37482540,37475496,37482383,+,ZC3H12A,XM_047430886.1,chr1,37480230,37480289,miRNA_primary_transcript,hsa-mir-6732,+,protein-coding gene,7961.0
chr1,37489992,37514766,37494098,37514746,-,MEAF6,NM_022756.7,chr1,37500935,37500994,miRNA_primary_transcript,hsa-mir-5581,-,protein-coding gene,24774.0
chr1,38047133,38119530,38119530,38119530,+,MIR3659HG,NR_168386.1,chr1,38089231,38089329,miRNA_primary_transcript,hsa-mir-3659,+,non-coding gene,72397.0
chr1,43164173,43172526,43164442,43172118,-,EBNA1BP2,XM_047441489.1,chr1,43171652,43171712,miRNA_primary_transcript,hsa-mir-6733,-,protein-coding gene,8353.0
chr1,43363400,43367714,43363915,43365609,-,ELOVL1,NM_001256399.2,chr1,43364648,43364715,miRNA_primary_transcript,hsa-mir-6734,-,protein-coding gene,4314.0
chr1,54053607,54106082,54054422,54096473,+,TCEANC2,NM_153035.3,chr1,54054079,54054154,miRNA_primary_transcript,hsa-mir-4781,+,protein-coding gene,52475.0
chr1,55217860,55234177,55234177,55234177,+,MIR4422HG,NR_146283.1,chr1,55225641,55225723,miRNA_primary_transcript,hsa-mir-4422,+,non-coding gene,16317.0
chr1,71063290,71081035,71065718,71080995,-,ZRANB2,XM_047434733.1,chr1,71067631,71067716,miRNA_primary_transcript,hsa-mir-186,-,protein-coding gene,17745.0
chr1,117060325,117098895,117060346,117098206,+,TTF2,XM_047432162.1,chr1,117094643,117094728,miRNA_primary_transcript,hsa-mir-942,+,protein-coding gene,38570.0
chr1,145848521,145859081,145849445,145858990,-,PIAS3,NM_006099.3,chr1,145850587,145850645,miRNA_primary_transcript,hsa-mir-6736,-,protein-coding gene,10560.0
chr1,150487418,150507602,150487450,150507064,+,TARS2,NM_001271896.2,chr1,150492345,150492410,miRNA_primary_transcript,hsa-mir-6878,+,protein-coding gene,20184.0
chr1,151540308,151583583,151540366,151581707,+,TUFT1,XM_011509961.3,chr1,151545796,151545891,miRNA_primary_transcript,hsa-mir-554,+,protein-coding gene,43275.0
chr1,153959109,153963537,153960097,153962715,-,SLC39A1,NM_001271957.2,chr1,153962351,153962420,miRNA_primary_transcript,hsa-mir-6737,-,protein-coding gene,4428.0
chr1,154974680,154979251,154974745,154978777,+,CKS1B,NM_001826.3,chr1,154975693,154975783,miRNA_primary_transcript,hsa-mir-4258,+,protein-coding gene,4571.0
chr1,159872363,159900165,159872484,159900098,-,CFAP45,NM_012337.3,chr1,159899979,159900079,miRNA_primary_transcript,hsa-mir-4259,-,protein-coding gene,27802.0
chr1,170145958,170168866,170146107,170167757,+,NTMT2,NM_001136107.2,chr1,170151378,170151462,miRNA_primary_transcript,hsa-mir-3119-2,+,protein-coding gene,22908.0
chr1,171090904,171117819,171092658,171117442,+,FMO3,NM_006894.6,chr1,171101739,171101798,miRNA_primary_transcript,hsa-mir-1295b,+,protein-coding gene,26915.0
chr1,179727775,179816198,179813097,179814189,+,FAM163A,NM_001329713.2,chr1,179803924,179804025,miRNA_primary_transcript,hsa-mir-12116,+,protein-coding gene,88423.0
chr1,201982647,202006143,201997334,202005716,+,RNPEP,NM_001319184.2,chr1,202003124,202003236,miRNA_primary_transcript,hsa-mir-6740,+,protein-coding gene,23496.0
chr1,206470475,206490877,206473227,206487979,+,IKBKE,XM_047435020.1,chr1,206474803,206474864,miRNA_primary_transcript,hsa-mir-6769b,+,protein-coding gene,20402.0
chr1,220117741,220119113,220119113,220119113,-,LOC124904515,XR_007066883.1,chr1,220118157,220118241,miRNA_primary_transcript,hsa-mir-194-1,-,non-coding gene,1372.0
chr1,225919877,225924250,225920454,225924110,-,PYCR2,NM_013328.4,chr1,225922080,225922142,miRNA_primary_transcript,hsa-mir-6741,-,protein-coding gene,4373.0
chr1,228082707,228099212,228097114,228098013,+,ARF1,NM_001658.4,chr1,228097263,228097341,miRNA_primary_transcript,hsa-mir-3620,+,protein-coding gene,16505.0
chr1,228393675,228406835,228394704,228406561,-,TRIM11,NM_145214.3,chr1,228397048,228397109,miRNA_primary_transcript,hsa-mir-6742,-,protein-coding gene,13160.0
chr1,233614105,233672514,233614171,233671530,+,KCNK1,NM_002245.4,chr1,233624152,233624219,miRNA_primary_transcript,hsa-mir-4427,+,protein-coding gene,58409.0
chr2,134119934,134375397,134254403,134375170,+,MGAT5,XM_017004149.2,chr2,134127125,134127192,miRNA_primary_transcript,hsa-mir-3679,+,protein-coding gene,255463.0
chr2,49918502,51032132,49921943,51028273,-,NRXN1,NM_001135659.3,chr2,50696172,50696262,miRNA_primary_transcript,hsa-mir-8485,-,protein-coding gene,1113630.0
chr2,27888708,28338901,27894556,28338513,+,BABAM2,NM_001329112.1,chr2,27996367,27996449,miRNA_primary_transcript,hsa-mir-4263,+,protein-coding gene,450193.0
chr2,32357022,32618878,32357161,32617904,+,BIRC6,XM_047445190.1,chr2,32532153,32532246,miRNA_primary_transcript,hsa-mir-558,+,protein-coding gene,261856.0
chr2,69013178,69249327,69013499,69245485,+,ANTXR1,NM_032208.3,chr2,69103682,69103755,miRNA_primary_transcript,hsa-mir-3126,+,protein-coding gene,236149.0
chr2,110083869,110115822,110085694,110115792,-,MALL,NM_005434.5,chr2,110086433,110086523,miRNA_primary_transcript,hsa-mir-4436b-1,-,protein-coding gene,31953.0
chr2,140231422,140840997,140233185,140840051,-,LRP1B,XM_017004342.1,chr2,140586626,140586685,miRNA_primary_transcript,hsa-mir-7157,-,protein-coding gene,609575.0
chr2,160272150,160493807,160275636,160493363,-,RBMS1,NM_016836.4,chr2,160407810,160407882,miRNA_primary_transcript,hsa-mir-4785,-,protein-coding gene,221657.0
chr2,175072258,175168203,175074608,175136443,-,ATF2,NM_001256090.2,chr2,175167633,175167709,miRNA_primary_transcript,hsa-mir-933,-,protein-coding gene,95945.0
chr2,213284463,214062740,213284483,214062725,+,SPAG16,XM_011511824.3,chr2,213758067,213758159,miRNA_primary_transcript,hsa-mir-4438,+,protein-coding gene,778277.0
chr2,239048167,239230367,239053096,239190027,-,HDAC4,XM_011512227.3,chr2,239068817,239068914,miRNA_primary_transcript,hsa-mir-4440,-,protein-coding gene,182200.0
chr2,239048167,239230367,239053096,239190027,-,HDAC4,XM_011512227.3,chr2,239085827,239085926,miRNA_primary_transcript,hsa-mir-4441,-,protein-coding gene,182200.0
chr2,239048167,239381037,239053096,239352699,-,HDAC4,XM_047446476.1,chr2,239351724,239351804,miRNA_primary_transcript,hsa-mir-2467,-,protein-coding gene,332870.0
chr2,11677543,11827409,11677647,11824791,+,LPIN1,NM_001349207.2,chr2,11767444,11767525,miRNA_primary_transcript,hsa-mir-548s,+,protein-coding gene,149866.0
chr2,12007115,12578348,12578348,12578348,+,MIR3681HG,NR_110196.1,chr2,12199130,12199201,miRNA_primary_transcript,hsa-mir-3681,+,non-coding gene,571233.0
chr2,25227873,25341925,25234278,25313984,-,DNMT3A,NM_022552.5,chr2,25328640,25328721,miRNA_primary_transcript,hsa-mir-1301,-,protein-coding gene,114052.0
chr2,32628049,32821051,32630584,32820938,+,TTC27,NM_001193509.2,chr2,32635255,32635331,miRNA_primary_transcript,hsa-mir-4765,+,protein-coding gene,193002.0
chr2,53670292,53859967,53670502,53859928,-,GPR75-ASB3,NM_001164165.2,chr2,53849122,53849205,miRNA_primary_transcript,hsa-mir-3682,-,protein-coding gene,189675.0
chr2,55963405,56047326,56047326,56047326,-,MIR217HG,NR_126406.1,chr2,55982967,55983076,miRNA_primary_transcript,hsa-mir-217,-,non-coding gene,83921.0
chr2,55963405,56047326,56047326,56047326,-,MIR217HG,NR_126406.1,chr2,55988950,55989059,miRNA_primary_transcript,hsa-mir-216a,-,non-coding gene,83921.0
chr2,55963405,56047326,56047326,56047326,-,MIR217HG,NR_126406.1,chr2,56000714,56000795,miRNA_primary_transcript,hsa-mir-216b,-,non-coding gene,83921.0
chr2,87125215,87196859,87196859,87196859,+,LOC102724642,NR_171620.1,chr2,87194786,87194859,miRNA_primary_transcript,hsa-mir-4771-1,+,non-coding gene,71644.0
chr2,87455478,87737853,87737853,87737853,+,NCAL1,NR_186253.1,chr2,87629755,87629834,miRNA_primary_transcript,hsa-mir-4435-1,+,non-coding gene,282375.0
chr2,111195865,111495161,111495161,111495161,-,MIR4435-2HG,NR_136162.1,chr2,111321013,111321086,miRNA_primary_transcript,hsa-mir-4435-2,-,non-coding gene,299296.0
chr2,111766230,111884193,111766960,111880825,-,ANAPC1,XM_017004710.3,chr2,111771061,111771134,miRNA_primary_transcript,hsa-mir-4771-2,-,protein-coding gene,117963.0
chr2,132147590,132258033,132258033,132258033,-,ANKRD30BL,NR_152415.2,chr2,132256966,132257080,miRNA_primary_transcript,hsa-mir-663b,-,non-coding gene,110443.0
chr2,132416804,132646582,132417042,132645606,+,GPR39,NM_001508.3,chr2,132433711,132433820,miRNA_primary_transcript,hsa-mir-9986,+,protein-coding gene,229778.0
chr2,134838615,134902034,134838682,134901860,+,ACMSD,XM_005263586.5,chr2,134857820,134857873,miRNA_primary_transcript,hsa-mir-5590,+,protein-coding gene,63419.0
chr2,158968639,159219867,159065910,159219540,+,TANC1,XM_047446136.1,chr2,159186835,159186901,miRNA_primary_transcript,hsa-mir-6888,+,protein-coding gene,251228.0
chr2,168456271,168775134,168456448,168769662,+,CERS6,NM_203463.3,chr2,168582943,168583018,miRNA_primary_transcript,hsa-mir-4774,+,protein-coding gene,318863.0
chr2,177283507,177392691,177392691,177392691,-,LOC100130691,NR_026966.1,chr2,177313806,177313882,miRNA_primary_transcript,hsa-mir-6512,-,non-coding gene,109184.0
chr2,179441981,179861612,179443249,179769800,-,ZNF385B,NM_001352808.2,chr2,179860836,179860908,miRNA_primary_transcript,hsa-mir-1258,-,protein-coding gene,419631.0
chr2,184190269,184436490,184436490,184436490,+,LOC102724340,XR_001739819.1,chr2,184378975,184379044,miRNA_primary_transcript,hsa-mir-548ae-1,+,non-coding gene,246221.0
chr2,188291873,188588609,188477702,188588075,+,GULP1,XM_011511335.3,chr2,188297492,188297588,miRNA_primary_transcript,hsa-mir-561,+,protein-coding gene,296736.0
chr2,188974372,189012746,188974489,189011774,+,COL3A1,NM_000090.4,chr2,188978092,188978161,miRNA_primary_transcript,hsa-mir-1245a,+,protein-coding gene,38374.0
chr2,189031897,189179761,189034069,189179604,-,COL5A2,NM_000393.5,chr2,189133036,189133111,miRNA_primary_transcript,hsa-mir-3129,-,protein-coding gene,147864.0
chr2,207074136,207134137,207081212,207134084,-,KLF7,NM_001270944.2,chr2,207109987,207110073,miRNA_primary_transcript,hsa-mir-2355,-,protein-coding gene,60001.0
chr2,217799790,217901745,217804458,217897965,-,TNS1,XM_047445643.1,chr2,217900513,217900628,miRNA_primary_transcript,hsa-mir-6809,-,protein-coding gene,101955.0
chr2,224765089,225042468,224765775,225042374,-,DOCK10,XM_047444918.1,chr2,225010461,225010540,miRNA_primary_transcript,hsa-mir-4439,-,protein-coding gene,277379.0
chr2,231198630,231376848,231206238,231371535,+,ARMC9,NM_001352754.2,chr2,231362708,231362793,miRNA_primary_transcript,hsa-mir-4777,+,protein-coding gene,178218.0
chr2,231961712,232337192,232014927,232336630,+,DIS3L2,NM_152383.5,chr2,232172653,232172747,miRNA_primary_transcript,hsa-mir-562,+,protein-coding gene,375480.0
chr2,237486409,237555322,237493426,237553592,+,MLPH,NM_001281474.2,chr2,237510931,237510988,miRNA_primary_transcript,hsa-mir-6811,+,protein-coding gene,68913.0
chr2,239892441,240025342,240025342,240025342,-,NDUFA10,NR_136158.2,chr2,239943015,239943094,miRNA_primary_transcript,hsa-mir-4786,-,non-coding gene,132901.0
chr2,241356284,241484218,241373107,241483784,+,FARP2,XM_005247050.4,chr2,241477905,241477982,miRNA_primary_transcript,hsa-mir-3133,+,protein-coding gene,127934.0
chr2,12716935,12742734,12718307,12740794,+,TRIB2,NM_021643.4,chr2,12737367,12737444,miRNA_primary_transcript,hsa-mir-3125,+,protein-coding gene,25799.0
chr2,47369310,47387020,47369505,47386613,+,EPCAM,NM_002354.3,chr2,47377675,47377770,miRNA_primary_transcript,hsa-mir-559,+,protein-coding gene,17710.0
chr2,60359215,60391375,60391375,60391375,-,MIR4432HG,NR_132992.1,chr2,60387362,60387445,miRNA_primary_transcript,hsa-mir-4432,-,non-coding gene,32160.0
chr2,62196114,62224731,62222220,62223414,+,B3GNT2,NM_006577.6,chr2,62205826,62205917,miRNA_primary_transcript,hsa-mir-5192,+,protein-coding gene,28617.0
chr2,64524327,64593005,64551474,64592035,+,AFTPH,NM_001394996.1,chr2,64525513,64525565,miRNA_primary_transcript,hsa-mir-4434,+,protein-coding gene,68678.0
chr2,86143935,86195462,86144267,86166522,-,IMMT,NM_001400129.1,chr2,86193026,86193108,miRNA_primary_transcript,hsa-mir-4779,-,protein-coding gene,51527.0
chr2,96760901,96811874,96760999,96809517,+,CNNM4,NM_020184.4,chr2,96798278,96798353,miRNA_primary_transcript,hsa-mir-3127,+,protein-coding gene,50973.0
chr2,101308767,101312744,101312744,101312744,+,LOC105373512,XR_923109.4,chr2,101309450,101309534,miRNA_primary_transcript,hsa-mir-5696,+,non-coding gene,3977.0
chr2,102418620,102444086,102423277,102443555,+,IL18RAP,XM_047446163.1,chr2,102432289,102432366,miRNA_primary_transcript,hsa-mir-4772,+,protein-coding gene,25466.0
chr2,110279605,110287506,110279605,110285681,+,LOC128966597,NM_001422168.1,chr2,110284853,110284943,miRNA_primary_transcript,hsa-mir-4436b-2,+,protein-coding gene,7901.0
chr2,113702681,113756642,113717774,113755876,-,SLC35F5,XM_047445924.1,chr2,113721290,113721368,miRNA_primary_transcript,hsa-mir-4782,-,protein-coding gene,53961.0
chr2,131469727,131492397,131470315,131492376,-,MZT2A,XM_005263742.4,chr2,131491160,131491236,miRNA_primary_transcript,hsa-mir-4784,-,protein-coding gene,22670.0
chr2,151337825,151379371,151379371,151379371,-,LOC101929319,NR_110248.1,chr2,151368334,151368411,miRNA_primary_transcript,hsa-mir-4773-2,-,non-coding gene,41546.0
chr2,151357591,151380046,151357666,151379533,+,TNFAIP6,NM_007115.4,chr2,151368334,151368411,miRNA_primary_transcript,hsa-mir-4773-1,+,protein-coding gene,22455.0
chr2,177230302,177264131,177230784,177234268,-,NFE2L2,NM_001145412.3,chr2,177255945,177256010,miRNA_primary_transcript,hsa-mir-3128,-,protein-coding gene,33829.0
chr2,188966457,188984819,188984819,188984819,-,LOC105373791,XR_007087614.1,chr2,188978093,188978161,miRNA_primary_transcript,hsa-mir-1245b,-,non-coding gene,18362.0
chr2,206765605,206796189,206766693,206791802,+,FASTKD2,NM_014929.4,chr2,206783234,206783308,miRNA_primary_transcript,hsa-mir-3130-2,+,protein-coding gene,30584.0
chr2,218270518,218346793,218270535,218344981,+,PNKD,XM_017003771.2,chr2,218341911,218341980,miRNA_primary_transcript,hsa-mir-6810,+,protein-coding gene,76275.0
chr2,218396350,218405941,218405941,218405941,+,CTDSP1,NR_174457.1,chr2,218402646,218402722,miRNA_primary_transcript,hsa-mir-26b,+,non-coding gene,9591.0
chr2,219054423,219060921,219055206,219060467,-,IHH,NM_002181.4,chr2,219058688,219058750,miRNA_primary_transcript,hsa-mir-3131,-,protein-coding gene,6498.0
chr2,219289622,219308970,219290225,219307453,-,PTPRN,NM_001199764.2,chr2,219294111,219294200,miRNA_primary_transcript,hsa-mir-153-1,-,protein-coding gene,19348.0
chr3,159069318,159897359,159069432,159896774,+,IQCJ-SCHIP1,NM_001197114.2,chr3,159282646,159282734,miRNA_primary_transcript,hsa-mir-3919,+,protein-coding gene,828041.0
chr3,10324022,10505584,10329099,10449543,-,ATP2B2,NM_001363862.1,chr3,10394489,10394562,miRNA_primary_transcript,hsa-mir-885,-,protein-coding gene,181562.0
chr3,15667235,15756547,15670269,15735497,-,ANKRD28,XM_047447813.1,chr3,15697298,15697371,miRNA_primary_transcript,hsa-mir-3134,-,protein-coding gene,89312.0
chr3,35638852,35794486,35681751,35793958,+,ARPP21,NM_001385488.1,chr3,35744476,35744559,miRNA_primary_transcript,hsa-mir-128-2,+,protein-coding gene,155634.0
chr3,55508310,56442166,55606909,56435007,-,ERC2,XM_047447941.1,chr3,55852492,55852594,miRNA_primary_transcript,hsa-mir-3938,-,protein-coding gene,933856.0
chr3,59747276,61251452,59752225,60536962,-,FHIT,NM_001320900.2,chr3,60617805,60617870,miRNA_primary_transcript,hsa-mir-548bb,-,protein-coding gene,1504176.0
chr3,70954707,71543557,70959246,71198381,-,FOXP1,NM_001244816.2,chr3,71541970,71542089,miRNA_primary_transcript,hsa-mir-1284,-,protein-coding gene,588850.0
