hostgene_chrom,hostgene_TxStarts,hostgene_TxEnds,hostgene_cdsStart,hostgene_cdsEnd,hostgene_strand,hostgene_Name,hostgene_NCBI_ID,miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_name,miR_strand
chr1,77367181,77515107,77374766,77515031,-,Epha4,XM_006496407.3,chr1,77496653,77496768,miRNA_primary_transcript,mmu-mir-6352,-
chr1,77367184,77515088,77373732,77515031,-,Epha4,NM_007936.3,chr1,77496653,77496768,miRNA_primary_transcript,mmu-mir-6352,-
chr1,84036292,84284645,84038030,84284370,-,Pid1,NM_001003948.2,chr1,84218849,84218961,miRNA_primary_transcript,mmu-mir-6353,-
chr1,84036295,84284674,84038030,84284370,-,Pid1,XM_011238718.3,chr1,84218849,84218961,miRNA_primary_transcript,mmu-mir-6353,-
chr1,84036295,84284675,84038030,84284370,-,Pid1,XM_011238717.3,chr1,84218849,84218961,miRNA_primary_transcript,mmu-mir-6353,-
chr1,84036295,84339842,84038030,84309854,-,Pid1,XM_017313045.2,chr1,84218849,84218961,miRNA_primary_transcript,mmu-mir-6353,-
chr1,84036295,84339842,84038030,84159366,-,Pid1,XM_017313047.1,chr1,84218849,84218961,miRNA_primary_transcript,mmu-mir-6353,-
chr1,106538175,106714290,106543263,106712880,-,Bcl2,NM_009741.5,chr1,106546496,106546631,miRNA_primary_transcript,mmu-mir-3473f,-
chr1,128103281,128237732,128174955,128236758,+,R3hdm1,XM_030253184.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253181.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253164.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253156.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253150.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529424.4,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253152.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529422.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_030253147.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529418.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529423.4,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529421.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128153228,128236758,+,R3hdm1,XM_006529419.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128176897,128236758,+,R3hdm1,XM_017319914.2,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237732,128176897,128236758,+,R3hdm1,XM_030253188.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237736,128174955,128236758,+,R3hdm1,XM_030253168.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237736,128153228,128236758,+,R3hdm1,XM_006529420.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237736,128176897,128236758,+,R3hdm1,XM_030253186.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237736,128153228,128236758,+,R3hdm1,XM_006529417.3,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237736,128176897,128236758,+,R3hdm1,XM_030253185.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103281,128237738,128237738,128237738,+,R3hdm1,XR_001784078.2,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128103305,128237735,128153228,128236758,+,R3hdm1,NM_181750.2,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128141940,128237732,128153228,128236758,+,R3hdm1,XM_017319906.2,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128141941,128237736,128153228,128236758,+,R3hdm1,XM_030253144.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,128141986,128237738,128153228,128236758,+,R3hdm1,NM_001357482.1,chr1,128202361,128202430,miRNA_primary_transcript,mmu-mir-128-1,+
chr1,132190628,132257382,132228221,132256958,+,Lemd1,XM_006529349.3,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,132190629,132257382,132228221,132256958,+,Lemd1,XM_006529347.3,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,132190685,132257382,132228221,132256958,+,Lemd1,XM_006529348.4,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,132191435,132257382,132228221,132256881,+,Lemd1,NM_001033250.4,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,132191435,132257382,132228221,132256726,+,Lemd1,NM_001311104.1,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,135434579,135585355,135441683,135585320,-,Nav1,NM_173437.2,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135603257,135441683,135602548,-,Nav1,XM_006529379.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135625340,135441683,135607871,-,Nav1,XM_017319809.1,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135658506,135441683,135658316,-,Nav1,XM_017319805.1,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688321,135441683,135658316,-,Nav1,XM_006529370.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529369.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529371.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529372.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529373.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529375.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529376.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529377.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688329,135441683,135658316,-,Nav1,XM_006529378.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688337,135441683,135607871,-,Nav1,XM_030252962.1,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688344,135441683,135602548,-,Nav1,XM_030252963.1,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135434587,135688350,135441683,135607871,-,Nav1,XM_006529374.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135452361,135688329,135688329,135688329,-,Nav1,XR_003954495.1,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,135453199,135688329,135688329,135688329,-,Nav1,XR_878320.2,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,158362101,158691781,158362582,158688750,+,Astn1,XM_011238740.2,chr1,158505625,158505733,miRNA_primary_transcript,mmu-mir-488,+
chr1,158362101,158691781,158362582,158688750,+,Astn1,XM_011238739.3,chr1,158505625,158505733,miRNA_primary_transcript,mmu-mir-488,+
chr1,158362303,158691786,158362582,158688750,+,Astn1,NM_007495.4,chr1,158505625,158505733,miRNA_primary_transcript,mmu-mir-488,+
chr1,158362303,158691786,158362582,158688750,+,Astn1,NM_001205204.1,chr1,158505625,158505733,miRNA_primary_transcript,mmu-mir-488,+
chr1,160219173,160319550,160224215,160307286,-,Rabgap1l,XM_030254802.1,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160319550,160224215,160251451,-,Rabgap1l,XM_030254804.1,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160319550,160224215,160307286,-,Rabgap1l,XM_006496881.4,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160219173,160351571,160224215,160351388,-,Rabgap1l,NM_001038621.2,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160252265,160319805,160257251,160307286,-,Rabgap1l,XM_006496883.4,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,160252265,160357818,160257251,160351388,-,Rabgap1l,XM_030254805.1,chr1,160295864,160295972,miRNA_primary_transcript,mmu-mir-1927,-
chr1,191997202,192092599,191997429,192070634,-,Traf5,NM_011633.2,chr1,191998554,191998634,miRNA_primary_transcript,mmu-mir-3473c,-
chr1,20669881,20682958,20682958,20682958,+,Lincmd1,NR_131249.1,chr1,20679010,20679082,miRNA_primary_transcript,mmu-mir-206,+
chr1,36335729,36369138,36337630,36353804,-,Kansl3,XM_017320242.1,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369141,36337630,36353804,-,Kansl3,XM_030253628.1,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369166,36337630,36365570,-,Kansl3,XM_011238482.2,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369175,36337630,36365570,-,Kansl3,XM_017320236.2,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369175,36337630,36365570,-,Kansl3,XM_017320240.2,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369181,36337630,36367983,-,Kansl3,NM_001310513.1,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36335729,36369181,36337630,36367983,-,Kansl3,NM_172652.3,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,36337995,36369193,36341194,36367983,-,Kansl3,XM_006495902.3,chr1,36348682,36348758,miRNA_primary_transcript,mmu-mir-6898,-
chr1,74391608,74397285,74391897,74395584,+,Ctdsp1,NM_153088.2,chr1,74394310,74394394,miRNA_primary_transcript,mmu-mir-26b,+
chr1,92439485,92473825,92439838,92470076,-,Ndufa10,XM_030242321.1,chr1,92464483,92464542,miRNA_primary_transcript,mmu-mir-6900,-
chr1,92439707,92473758,92439838,92473737,-,Ndufa10,NM_024197.1,chr1,92464483,92464542,miRNA_primary_transcript,mmu-mir-6900,-
chr1,92831644,92860211,92831931,92858564,+,Gpc1,NM_016696.5,chr1,92850378,92850443,miRNA_primary_transcript,mmu-mir-149,+
chr1,92850119,92860211,92850174,92858564,+,Gpc1,XM_011247925.2,chr1,92850378,92850443,miRNA_primary_transcript,mmu-mir-149,+
chr1,93343609,93367616,93352538,93365066,+,Ppp1r7,XM_011248057.3,chr1,93346092,93346155,miRNA_primary_transcript,mmu-mir-6902,+
chr1,93343609,93367616,93352538,93365066,+,Ppp1r7,XM_011248057.3,chr1,93352158,93352285,miRNA_primary_transcript,mmu-mir-6345,+
chr1,93343627,93367616,93343659,93365066,+,Ppp1r7,NM_023200.3,chr1,93346092,93346155,miRNA_primary_transcript,mmu-mir-6902,+
chr1,93343627,93367616,93343659,93365066,+,Ppp1r7,NM_023200.3,chr1,93352158,93352285,miRNA_primary_transcript,mmu-mir-6345,+
chr1,132188220,132209547,132209547,132209547,+,Gm29695,XR_387385.4,chr1,132198088,132198184,miRNA_primary_transcript,mmu-mir-135b,+
chr1,135434587,135511368,135441683,135510256,-,Nav1,XM_006529380.4,chr1,135454603,135454683,miRNA_primary_transcript,mmu-mir-1231,-
chr1,151428541,151458183,151443308,151457934,+,Trmt1l,NM_001357570.1,chr1,151442393,151442450,miRNA_primary_transcript,mmu-mir-7682,+
chr1,151428541,151458183,151428876,151457934,+,Trmt1l,NM_001357569.1,chr1,151442393,151442450,miRNA_primary_transcript,mmu-mir-7682,+
chr1,151428541,151458183,151428876,151457934,+,Trmt1l,NM_026876.4,chr1,151442393,151442450,miRNA_primary_transcript,mmu-mir-7682,+
chr1,151428824,151458161,151443308,151457934,+,Trmt1l,XM_030243897.1,chr1,151442393,151442450,miRNA_primary_transcript,mmu-mir-7682,+
chr1,171051177,171064908,171051667,171059353,-,Fcgr3,XM_030247672.1,chr1,171064591,171064652,miRNA_primary_transcript,mmu-mir-6546,-
chr1,171051177,171064927,171051667,171059353,-,Fcgr3,XM_006496660.2,chr1,171064591,171064652,miRNA_primary_transcript,mmu-mir-6546,-
chr1,171051177,171065509,171051667,171059353,-,Fcgr3,XM_006496658.3,chr1,171064591,171064652,miRNA_primary_transcript,mmu-mir-6546,-
chr1,171051177,171065915,171051667,171059353,-,Fcgr3,XM_006496659.4,chr1,171064591,171064652,miRNA_primary_transcript,mmu-mir-6546,-
chr1,171632402,171653037,171634924,171648927,-,Slamf7,NM_144539.5,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171632403,171652958,171634937,171648927,-,Slamf7,XM_030243259.1,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171632403,171652961,171634924,171648927,-,Slamf7,XM_011238876.3,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171632404,171648999,171634937,171648927,-,Slamf7,NM_001347184.1,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171635003,171652963,171636233,171648927,-,Slamf7,XM_011238875.3,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171636392,171652967,171637056,171641139,-,Slamf7,XM_011238877.3,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171636393,171652970,171637056,171648927,-,Slamf7,XM_011238874.3,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171636393,171652970,171637056,171648927,-,Slamf7,XM_006497011.4,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,171636393,171652970,171637056,171648927,-,Slamf7,XM_006497012.4,chr1,171641840,171641900,miRNA_primary_transcript,mmu-mir-7683,-
chr1,176729071,176813972,176735679,176793609,-,Cep170,XM_030255566.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_006496937.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_030255569.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_030255570.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_030255571.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_030255572.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_006496943.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_006496947.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176729071,176813979,176735679,176793609,-,Cep170,XM_006496948.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176797308,176735679,176793609,-,Cep170,NM_001368873.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176807124,176735679,176793609,-,Cep170,NM_001099637.2,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176813953,176735679,176793609,-,Cep170,NM_001368872.1,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176813972,176735679,176793609,-,Cep170,XM_006496940.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176813979,176735679,176793609,-,Cep170,XM_006496939.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176813979,176735679,176793609,-,Cep170,XM_006496945.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176733652,176813979,176735679,176793609,-,Cep170,XM_017321736.2,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,176734084,176813979,176735679,176793609,-,Cep170,XM_006496944.4,chr1,176772325,176772423,miRNA_primary_transcript,mmu-mir-350,-
chr1,184813065,184845908,184819220,184845817,-,Mtarc2,NM_133684.4,chr1,184822407,184822488,miRNA_primary_transcript,mmu-mir-1981,-
chr1,184813065,184845908,184819220,184845817,-,Mtarc2,NM_001368285.1,chr1,184822407,184822488,miRNA_primary_transcript,mmu-mir-1981,-
chr1,184813065,184846451,184819220,184841420,-,Mtarc2,NM_001368286.1,chr1,184822407,184822488,miRNA_primary_transcript,mmu-mir-1981,-
chr1,193506459,193510210,193510210,193510210,-,Mir205hg,NR_166150.1,chr1,193507463,193507530,miRNA_primary_transcript,mmu-mir-205,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_006498459.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_006498460.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_006498462.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_017319348.2,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_006498461.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40595289,42653532,40596933,42652909,-,Lrp1b,XM_006498463.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40596772,42653598,40596933,42652816,-,Lrp1b,NM_053011.2,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40677521,42653535,42653535,42653535,-,Lrp1b,XR_374143.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40870316,42653535,42653535,42653535,-,Lrp1b,XR_374144.4,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,40980335,42653535,40981993,42652909,-,Lrp1b,XM_011239217.3,chr2,42447439,42447568,miRNA_primary_transcript,mmu-mir-6336,-
chr2,92183750,92363099,92221561,92360423,+,Phf21a,XM_006498967.4,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183755,92364666,92364666,92364666,+,Phf21a,XR_003951420.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183756,92360918,92221561,92360423,+,Phf21a,XM_030248708.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183756,92360918,92221561,92360423,+,Phf21a,XM_006498980.4,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183756,92360918,92221561,92360423,+,Phf21a,XM_030248707.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183757,92360918,92221561,92360423,+,Phf21a,XM_030248715.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183757,92360918,92221561,92360423,+,Phf21a,XM_030248709.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
chr2,92183757,92360918,92221561,92360423,+,Phf21a,XM_030248695.1,chr2,92191977,92192074,miRNA_primary_transcript,mmu-mir-1955,+
