miR_chrom,miR_exonStarts,miR_exonEnds,miR_type,miR_Name,miR_strand,miR_ID,type
chr16,77599657,77599750,miRNA_primary_transcript,Name=mmu-let-7c-1,+,Alias=MI0000559,no host mRNA miR
chr16,77646273,77646343,miRNA_primary_transcript,Name=mmu-mir-125b-2,+,Alias=MI0000152,no host mRNA miR
chr16,91527443,91527544,miRNA_primary_transcript,Name=mmu-mir-6367,-,Alias=MI0021896,no host mRNA miR
chr16,93369720,93369816,miRNA_primary_transcript,Name=mmu-mir-802,+,Alias=MI0004249,no host mRNA miR
chr17,6895229,6895337,miRNA_primary_transcript,Name=mmu-mir-692-1,-,Alias=MI0004660,no host mRNA miR
chr17,27317035,27317095,miRNA_primary_transcript,Name=mmu-mir-7214,-,Alias=MI0023709,no host mRNA miR
chr17,27355738,27355799,miRNA_primary_transcript,Name=mmu-mir-7217,+,Alias=MI0023712,no host mRNA miR
chr17,27358097,27358155,miRNA_primary_transcript,Name=mmu-mir-7218,+,Alias=MI0023713,no host mRNA miR
chr17,34024983,34025092,miRNA_primary_transcript,Name=mmu-mir-219a-1,-,Alias=MI0000702,no host mRNA miR
chr17,34025012,34025071,miRNA_primary_transcript,Name=mmu-mir-219c,+,Alias=MI0025034,no host mRNA miR
chr17,56242988,56243098,miRNA_primary_transcript,Name=mmu-mir-7b,+,Alias=MI0000730,no host mRNA miR
chr17,64440806,64440907,miRNA_primary_transcript,Name=mmu-mir-6420,+,Alias=MI0021958,no host mRNA miR
chr17,70860503,70860600,miRNA_primary_transcript,Name=mmu-mir-1195,-,Alias=MI0006303,no host mRNA miR
chr18,32880573,32880673,miRNA_primary_transcript,Name=mmu-mir-6361,-,Alias=MI0021889,no host mRNA miR
chr18,59579630,59579735,miRNA_primary_transcript,Name=mmu-mir-6355,+,Alias=MI0021883,no host mRNA miR
chr18,65248861,65248926,miRNA_primary_transcript,Name=mmu-mir-122,+,Alias=MI0000256,no host mRNA miR
chr18,65248863,65248921,miRNA_primary_transcript,Name=mmu-mir-122b,-,Alias=MI0040634,no host mRNA miR
chr18,68739400,68739501,miRNA_primary_transcript,Name=mmu-mir-6356,+,Alias=MI0021884,no host mRNA miR
chr18,76170552,76170652,miRNA_primary_transcript,Name=mmu-mir-6358,+,Alias=MI0021886,no host mRNA miR
chr18,81992010,81992080,miRNA_primary_transcript,Name=mmu-mir-5127,-,Alias=MI0018039,no host mRNA miR
chr18,82720281,82720340,miRNA_primary_transcript,Name=mmu-mir-5112,+,Alias=MI0018021,no host mRNA miR
chr19,6264643,6264728,miRNA_primary_transcript,Name=mmu-mir-194-2,+,Alias=MI0000733,no host mRNA miR
chr19,6264844,6264932,miRNA_primary_transcript,Name=mmu-mir-192,+,Alias=MI0000551,no host mRNA miR
chr2,30721210,30721293,miRNA_primary_transcript,Name=mmu-mir-3089,+,Alias=MI0014082,no host mRNA miR
chr2,32712807,32712888,miRNA_primary_transcript,Name=mmu-mir-2861,-,Alias=MI0013007,no host mRNA miR
chr2,32712900,32712972,miRNA_primary_transcript,Name=mmu-mir-3960,-,Alias=MI0016963,no host mRNA miR
chr2,65364296,65364400,miRNA_primary_transcript,Name=mmu-mir-6337,-,Alias=MI0021865,no host mRNA miR
chr2,84741115,84741178,miRNA_primary_transcript,Name=mmu-mir-130a,-,Alias=MI0000156,no host mRNA miR
chr2,92592206,92592277,miRNA_primary_transcript,Name=mmu-mir-7221,+,Alias=MI0023716,no host mRNA miR
chr2,92594602,92594676,miRNA_primary_transcript,Name=mmu-mir-7222,+,Alias=MI0023717,no host mRNA miR
chr2,117185127,117185226,miRNA_primary_transcript,Name=mmu-mir-674,+,Alias=MI0004611,no host mRNA miR
chr2,133564708,133564794,miRNA_primary_transcript,Name=mmu-mir-3090,+,Alias=MI0014083,no host mRNA miR
chr2,138819929,138820007,miRNA_primary_transcript,Name=mmu-mir-1952,+,Alias=MI0009947,no host mRNA miR
chr2,151967529,151967617,miRNA_primary_transcript,Name=mmu-mir-1953,-,Alias=MI0009948,no host mRNA miR
chr2,158243504,158243565,miRNA_primary_transcript,Name=mmu-mir-7685,-,Alias=MI0025036,no host mRNA miR
chr2,174267047,174267125,miRNA_primary_transcript,Name=mmu-mir-296,-,Alias=MI0000394,no host mRNA miR
chr2,174267504,174267585,miRNA_primary_transcript,Name=mmu-mir-298,-,Alias=MI0000398,no host mRNA miR
chr2,180894040,180894107,miRNA_primary_transcript,Name=mmu-mir-124-3,+,Alias=MI0000150,no host mRNA miR
chr3,34922545,34922651,miRNA_primary_transcript,Name=mmu-mir-6378,-,Alias=MI0021909,no host mRNA miR
chr3,46900668,46900782,miRNA_primary_transcript,Name=mmu-mir-6379,-,Alias=MI0021910,no host mRNA miR
chr3,65659288,65659426,miRNA_primary_transcript,Name=mmu-mir-8120,+,Alias=MI0026052,no host mRNA miR
chr3,89227116,89227198,miRNA_primary_transcript,Name=mmu-mir-92b,-,Alias=MI0005521,no host mRNA miR
chr3,90070020,90070099,miRNA_primary_transcript,Name=mmu-mir-190b,+,Alias=MI0005478,no host mRNA miR
chr3,118433857,118433929,miRNA_primary_transcript,Name=mmu-mir-137,+,Alias=MI0000163,no host mRNA miR
chr3,122293585,122293703,miRNA_primary_transcript,Name=mmu-mir-760,-,Alias=MI0004605,no host mRNA miR
chr3,137783535,137783615,miRNA_primary_transcript,Name=mmu-mir-6380,-,Alias=MI0021911,no host mRNA miR
chr3,140028249,140028370,miRNA_primary_transcript,Name=mmu-let-7j,+,Alias=MI0021908,no host mRNA miR
chr3,151023792,151023862,miRNA_primary_transcript,Name=mmu-mir-3963,-,Alias=MI0016968,no host mRNA miR
chr4,3537090,3537191,miRNA_primary_transcript,Name=mmu-mir-3471-2,+,Alias=MI0014701,no host mRNA miR
chr4,10845500,10845630,miRNA_primary_transcript,Name=mmu-mir-3471-1,-,Alias=MI0014699,no host mRNA miR
chr4,11134097,11134182,miRNA_primary_transcript,Name=mmu-mir-684-2,+,Alias=MI0004648,no host mRNA miR
chr4,150068454,150068555,miRNA_primary_transcript,Name=mmu-mir-34a,+,Alias=MI0000584,no host mRNA miR
chr5,41891342,41891423,miRNA_primary_transcript,Name=mmu-mir-6414,+,Alias=MI0021952,no host mRNA miR
chr5,82798944,82799065,miRNA_primary_transcript,Name=mmu-mir-1187,-,Alias=MI0006285,no host mRNA miR
chr5,87595902,87595993,miRNA_primary_transcript,Name=mmu-mir-3969,-,Alias=MI0016978,no host mRNA miR
chr5,113324493,113324545,miRNA_primary_transcript,Name=mmu-mir-7229,-,Alias=MI0023724,no host mRNA miR
chr5,113337590,113337645,miRNA_primary_transcript,Name=mmu-mir-7230,-,Alias=MI0023725,no host mRNA miR
chr5,114851948,114852064,miRNA_primary_transcript,Name=mmu-mir-6240,+,Alias=MI0021587,no host mRNA miR
chr5,134326454,134326522,miRNA_primary_transcript,Name=mmu-mir-3965,+,Alias=MI0016972,no host mRNA miR
chr5,147283189,147283298,miRNA_primary_transcript,Name=mmu-let-7k,-,Alias=MI0022352,no host mRNA miR
chr6,19555342,19555461,miRNA_primary_transcript,Name=mmu-mir-6370,+,Alias=MI0021899,no host mRNA miR
chr6,29022619,29022691,miRNA_primary_transcript,Name=mmu-mir-129-1,+,Alias=MI0000222,no host mRNA miR
chr6,31062660,31062747,miRNA_primary_transcript,Name=mmu-mir-29a,-,Alias=MI0000576,no host mRNA miR
chr6,31063023,31063093,miRNA_primary_transcript,Name=mmu-mir-29b-1,-,Alias=MI0000143,no host mRNA miR
chr6,81895590,81895663,miRNA_primary_transcript,Name=mmu-mir-7232,-,Alias=MI0023727,no host mRNA miR
chr6,81896599,81896676,miRNA_primary_transcript,Name=mmu-mir-468,-,Alias=MI0002403,no host mRNA miR
chr6,83090311,83090387,miRNA_primary_transcript,Name=mmu-mir-3470a,-,Alias=MI0014696,no host mRNA miR
chr6,85790140,85790234,miRNA_primary_transcript,Name=mmu-mir-6375,-,Alias=MI0021904,no host mRNA miR
chr6,102794384,102794485,miRNA_primary_transcript,Name=mmu-mir-6373,+,Alias=MI0021902,no host mRNA miR
chr6,124717914,124717985,miRNA_primary_transcript,Name=mmu-mir-141,-,Alias=MI0000166,no host mRNA miR
chr6,124718322,124718390,miRNA_primary_transcript,Name=mmu-mir-200c,-,Alias=MI0000694,no host mRNA miR
chr6,125195792,125195878,miRNA_primary_transcript,Name=mmu-mir-3098,+,Alias=MI0014091,no host mRNA miR
chr6,129691535,129691643,miRNA_primary_transcript,Name=mmu-mir-680-1,+,Alias=MI0004640,no host mRNA miR
chr7,10958437,10958512,miRNA_primary_transcript,Name=mmu-mir-297a-1,-,Alias=MI0000395,no host mRNA miR
chr7,45121757,45121821,miRNA_primary_transcript,Name=mmu-mir-150,+,Alias=MI0000172,no host mRNA miR
chr7,53891761,53891889,miRNA_primary_transcript,Name=mmu-mir-6238,-,Alias=MI0021585,no host mRNA miR
chr7,61683124,61683192,miRNA_primary_transcript,Name=mmu-mir-344d-1,-,Alias=MI0004524,no host mRNA miR
chr7,61685272,61685351,miRNA_primary_transcript,Name=mmu-mir-344d-2,-,Alias=MI0004619,no host mRNA miR
chr7,61940027,61940106,miRNA_primary_transcript,Name=mmu-mir-344-2,-,Alias=MI0005495,no host mRNA miR
chr7,62046181,62046248,miRNA_primary_transcript,Name=mmu-mir-344f,-,Alias=MI0014098,no host mRNA miR
chr7,62085223,62085310,miRNA_primary_transcript,Name=mmu-mir-344i,-,Alias=MI0019317,no host mRNA miR
chr7,73819590,73819641,miRNA_primary_transcript,Name=mmu-mir-7234,+,Alias=MI0023729,no host mRNA miR
chr7,78888277,78888373,miRNA_primary_transcript,Name=mmu-mir-7a-2,+,Alias=MI0000729,no host mRNA miR
chr7,139779018,139779126,miRNA_primary_transcript,Name=mmu-mir-6401,+,Alias=MI0021937,no host mRNA miR
chr7,141221384,141221493,miRNA_primary_transcript,Name=mmu-mir-210,-,Alias=MI0000695,no host mRNA miR
chr7,143933115,143933208,miRNA_primary_transcript,Name=mmu-mir-6404,+,Alias=MI0021940,no host mRNA miR
chr8,64514332,64514441,miRNA_primary_transcript,Name=mmu-mir-710,-,Alias=MI0004694,no host mRNA miR
chr8,70925525,70925618,miRNA_primary_transcript,Name=mmu-mir-1969,+,Alias=MI0009966,no host mRNA miR
chr8,84005628,84005764,miRNA_primary_transcript,Name=mmu-mir-8111,+,Alias=MI0026043,no host mRNA miR
chr8,84178716,84178787,miRNA_primary_transcript,Name=mmu-mir-181d,-,Alias=MI0005450,no host mRNA miR
chr8,84178873,84178961,miRNA_primary_transcript,Name=mmu-mir-181c,-,Alias=MI0000724,no host mRNA miR
chr8,84208518,84208592,miRNA_primary_transcript,Name=mmu-mir-23a,+,Alias=MI0000571,no host mRNA miR
chr8,84208672,84208758,miRNA_primary_transcript,Name=mmu-mir-27a,+,Alias=MI0000578,no host mRNA miR
chr8,84208815,84208921,miRNA_primary_transcript,Name=mmu-mir-24-2,+,Alias=MI0000572,no host mRNA miR
chr8,84208825,84208907,miRNA_primary_transcript,Name=mmu-mir-3074-2,-,Alias=MI0014104,no host mRNA miR
chr8,89024735,89024831,miRNA_primary_transcript,Name=mmu-mir-8110,+,Alias=MI0026042,no host mRNA miR
chr9,3038669,3038743,miRNA_primary_transcript,Name=mmu-mir-101c,-,Alias=MI0016974,no host mRNA miR
chr9,8246786,8246881,miRNA_primary_transcript,Name=mmu-mir-1899,+,Alias=MI0008318,no host mRNA miR
chr9,21613444,21613576,miRNA_primary_transcript,Name=mmu-mir-1946b,-,Alias=MI0009967,no host mRNA miR
chr9,70405694,70405753,miRNA_primary_transcript,Name=mmu-mir-5626,-,Alias=MI0019195,no host mRNA miR
chr9,89802260,89802328,miRNA_primary_transcript,Name=mmu-mir-184,-,Alias=MI0000226,no host mRNA miR
chr9,104426113,104426187,miRNA_primary_transcript,Name=mmu-mir-2136,+,Alias=MI0010749,no host mRNA miR
chr9,115381819,115381939,miRNA_primary_transcript,Name=mmu-mir-467h,+,Alias=MI0006302,no host mRNA miR
chr9,122682876,122682974,miRNA_primary_transcript,Name=mmu-mir-138-1,+,Alias=MI0000722,no host mRNA miR
chrX,19146294,19146388,miRNA_primary_transcript,Name=mmu-mir-221,-,Alias=MI0000709,no host mRNA miR
chrX,19146893,19146971,miRNA_primary_transcript,Name=mmu-mir-222,-,Alias=MI0000710,no host mRNA miR
chrX,52741693,52741767,miRNA_primary_transcript,Name=mmu-mir-363,-,Alias=MI0000765,no host mRNA miR
chrX,52741838,52741928,miRNA_primary_transcript,Name=mmu-mir-92a-2,-,Alias=MI0000580,no host mRNA miR
chrX,52741983,52742066,miRNA_primary_transcript,Name=mmu-mir-19b-2,-,Alias=MI0000546,no host mRNA miR
chrX,52742113,52742192,miRNA_primary_transcript,Name=mmu-mir-20b,-,Alias=MI0003536,no host mRNA miR
chrX,52742331,52742413,miRNA_primary_transcript,Name=mmu-mir-18b,-,Alias=MI0005483,no host mRNA miR
chrX,53047997,53048078,miRNA_primary_transcript,Name=mmu-mir-450b,-,Alias=MI0004705,no host mRNA miR
chrX,53048154,53048244,miRNA_primary_transcript,Name=mmu-mir-450a-1,-,Alias=MI0001653,no host mRNA miR
chrX,53048299,53048367,miRNA_primary_transcript,Name=mmu-mir-450a-2,-,Alias=MI0003537,no host mRNA miR
chrX,53049403,53049487,miRNA_primary_transcript,Name=mmu-mir-542,-,Alias=MI0003522,no host mRNA miR
chrX,66776757,66776818,miRNA_primary_transcript,Name=mmu-mir-743a,-,Alias=MI0005207,no host mRNA miR
chrX,66777256,66777332,miRNA_primary_transcript,Name=mmu-mir-743b,-,Alias=MI0005470,no host mRNA miR
chrX,66780373,66780437,miRNA_primary_transcript,Name=mmu-mir-742,-,Alias=MI0005206,no host mRNA miR
chrX,66780758,66780833,miRNA_primary_transcript,Name=mmu-mir-883a,-,Alias=MI0005476,no host mRNA miR
chrX,66789890,66789967,miRNA_primary_transcript,Name=mmu-mir-883b,-,Alias=MI0005477,no host mRNA miR
chrX,66792595,66792661,miRNA_primary_transcript,Name=mmu-mir-471,-,Alias=MI0002406,no host mRNA miR
chrX,66796805,66796875,miRNA_primary_transcript,Name=mmu-mir-741,-,Alias=MI0005205,no host mRNA miR
chrX,66799223,66799297,miRNA_primary_transcript,Name=mmu-mir-463,-,Alias=MI0002398,no host mRNA miR
